ID,p0,p1
23090,body,buddy
23091,bodied,budded
23092,bodies,buddies
23093,bog,bug
23094,bogged,bugged
23095,bogging,bugging
23096,bogs,bugs
23097,boggy,buggy
23098,bomb,bum
23099,bombed,bummed
23100,bombing,bumming
23101,bombs,bums
23102,bonkers,bunkers
23103,onn,bun
23104,bonny,bunny
23105,borrow,burrow
23106,borrowed,burrowed
23107,borrowing,burrowing
23108,borrows,burrows
23109,boss,bus
23110,bossed,bused
23111,bosses,buses
23112,bossing,busing
23113,box,bucks
23114,choc,chuck
23115,chocked,chucked
23116,chocking,chucking
23117,chocks,chucks
23118,choler,colour
23119,cholers,colours
23120,clock,cluck
23121,clocked,clucked
23122,clocking,clucking
23123,clocks,clucks
23124,cob,cub
23125,cobs,cubs
23126,cod,cud
23127,coddle,cuddle
23128,coddled,cuddled
23129,coddles,cuddles
23130,coddling,cuddling
23131,col,cull
23132,cols,culls
23133,collar,colour
23134,collared,coloured
23135,collaring,colouring
23136,collars,colours
23137,comma,comer
23138,commas,comers
23139,conning,cunning
23140,cont,cunt
23141,cop,cup
23142,copped,cupped
23143,copping,cupping
23144,cops,cups
23145,coppers,cuppas
23146,opt,cupped
23147,corrie,curry
23148,corries,curries
23149,cot,cut
23150,cots,cuts
23151,cottar,cutter
23152,cottars,cutters
23153,cough,cuff
23154,coughed,cuffed
23155,coughing,cuffing
23156,coughs,cuffs
23157,crocks,crux
23158,cropper,crupper
23159,croppers,cruppers
23160,crotch,crutch
23161,crotches,crutches
23162,dobbin,dubbin
23163,dock,duck
23164,docked,ducked
23165,docking,ducking
23166,docks,ducks
23167,dog,dug
23168,dogs,dugs
23169,doll,dull
23170,dolled,dulled
23171,dolling,dulling
23172,dolls,dulls
23173,dollar,duller
23174,don,done
23175,don,dun
23176,donned,dunned
23177,donning,dunning
23178,dons,duns
23179,donjon,dungeon
23180,donjons,dungeons
23181,dossed,dost
23182,flocks,flux
23183,florid,flurried
23184,fog,fug
23185,fogs,fugs
23186,foggy,fuggy
23187,foggier,fuggier
23188,foggiest,fuggiest
23189,fond,fund
23190,fosse,fuss
23191,fosses,fusses
23192,fox,fucks
23193,golf,gulf
23194,golfs,gulfs
23195,golly,gully
23196,goner,gunner
23197,goners,gunners
23198,gosh,gush
23199,gosling,guzzling
23200,got,gut
23201,hob,hub
23202,hobs,hubs
23203,hobby,hubby
23204,hobbies,hubbies
23205,hog,hug
23206,hogged,hugged
23207,hogging,hugging
23208,hogs,hugs
23209,honk,hunk
23210,honks,hunks
23211,horrid,hurried
23212,horridly,hurriedly
23213,hot,hut
23214,hotted,hutted
23215,jog,jug
23216,jogged,jugged
23217,jogging,jugging
23218,jogs,jugs
23219,joggle,juggle
23220,joggled,juggled
23221,joggles,juggles
23222,joggling,juggling
23223,jot,jut
23224,jots,juts
23225,jotted,jutted
23226,jotting,jutting
23227,knob,nub
23228,knobs,nubs
23229,knot,nut
23230,knotted,nutted
23231,knotty,nutty
23232,knottier,nuttier
23233,knottiest,nuttiest
23234,loch,luck
23235,lochs,luxe
23236,lock,luck
23237,locks,luxe
23238,loft,luffed
23239,log,lug
23240,logged,lugged
23241,logging,lugging
23242,logs,lugs
23243,loll,lull
23244,lolled,lulled
23245,lolling,lulling
23246,lolls,lulls
23247,long,lung
23248,longs,lungs
23249,lost,lust
23250,mock,muck
23251,mocked,mucked
23252,mocking,mucking
23253,mocks,mucks
23254,od,mud
23255,model,muddle
23256,modelled,muddled
23257,modelling,muddling
23258,models,muddles
23259,ods,muds
23260,moll,mull
23261,molls,mulls
23262,mosque,musk
23263,moss,muss
23264,mosses,musses
23265,nozzle,nuzzle
23266,nozzles,nuzzles
23267,op,up
23268,opt,upped
23269,otter,utter
23270,otters,utters
23271,oz,us
23272,plonk,plunk
23273,plonks,plunks
23274,pock,puck
23275,pocks,pucks
23276,podgy,pudgy
23277,podgier,pudgier
23278,podgiest,pudgiest
23279,pommel,pommel
23280,pommels,pommels
23281,pomp,pump
23282,pond,punned
23283,pop,pup
23284,pops,pups
23285,poppet,puppet
23286,poppets,puppets
23287,poppy,puppy
23288,poppies,puppies
23289,pot,putt
23290,pots,putts
23291,potted,putted
23292,potting,putting
23293,potter,putter
23294,pottered,puttered
23295,pottering,puttering
23296,potters,putters
23297,potty,puttee
23298,potties,puttees
23299,potty,putty
23300,rhomb,rum
23301,rob,rub
23302,robbed,rubbed
23303,robbing,rubbing
23304,robs,rubs
23305,robber,rubber
23306,robbers,rubbers
23307,robbery,rubbery
23308,roc,ruck
23309,rocs,rucks
23310,rock,ruck
23311,rocked,rucked
23312,rocking,rucking
23313,rocks,rucks
23314,romp,rump
23315,romps,rumps
23316,on,run
23317,onnie,runny
23318,rot,rut
23319,rots,ruts
23320,rotted,rutted
23321,rotting,rutting
23322,scholar,sculler
23323,scholars,scullers
23324,scoff,scuff
23325,scoffed,scuffed
23326,scoffing,scuffing
23327,scoffs,scuffs
23328,cot,scut
23329,cots,scuts
23330,shock,shuck
23331,shocked,shucked
23332,shocking,shucking
23333,shocks,shucks
23334,shot,shut
23335,shots,shuts
23336,shone,shun
23337,slog,slug
23338,slogged,slugged
23339,slogging,slugging
23340,slogs,slugs
23341,slosh,slush
23342,slot,slut
23343,slots,sluts
23344,smog,smug
23345,snob,snub
23346,snobs,snubs
23347,snog,snug
23348,snogs,snugs
23349,sob,sub
23350,sobbed,subbed
23351,sobbing,subbing
23352,sobs,subs
23353,soccer,succour
23354,sock,suck
23355,socked,sucked
23356,socking,sucking
23357,socks,sucks
23358,sodden,sudden
23359,sods,suds
23360,soft,soughed
23361,solid,sullied
23362,song,sung
23363,sop,sup
23364,sopped,supped
23365,sopping,supping
23366,sops,sups
23367,spotter,sputter
23368,spotters,sputters
23369,stock,stuck
23370,stomp,stump
23371,stomped,stumped
23372,stomping,stumping
23373,stomps,stumps
23374,strong,strung
23375,toff,tough
23376,toffee,toughie
23377,toffees,toughies
23378,toff,tough
23379,toffs,toughs
23380,tog,tug
23381,togged,tugged
23382,togging,tugging
23383,togs,tugs
23384,ommy,tummy
23385,tongs,tongues
23386,top,tup
23387,topped,tupped
23388,topping,tupping
23389,tops,tups
23390,tot,tut
23391,totted,tutted
23392,totting,tutting
23393,tots,tuts
23394,wan,one
23395,wan,won
23396,wander,wonder
23397,wandered,wondered
23398,wandering,wondering
23399,wanders,wonders
23400,warrior,worrier
23401,warriors,worriers
23402,wrong,rung
23403,wrongs,rungs
23404,accost,accurst
23405,allot,alert
23406,allots,alerts
23407,allotted,alerted
23408,allotting,alerting
23409,blob,blurb
23410,blobs,blurbs
23411,blot,blurt
23412,blots,blurts
23413,blotted,blurted
23414,blotting,blurting
23415,bog,berg
23416,bogs,bergs
23417,boggle,burgle
23418,boggled,burgled
23419,boggles,burgles
23420,boggling,burgling
23421,bond,burned
23422,bossed,burst
23423,botch,birch
23424,botched,birched
23425,botches,birches
23426,botching,birching
23427,box,burkes
23428,choler,curler
23429,cholers,curlers
23430,collar,curler
23431,collars,curlers
23432,chop,chirp
23433,chopped,chirped
23434,chopping,chirping
23435,chops,chirps
23436,choppy,chirpy
23437,cob,curb
23438,cobs,curbs
23439,cock,kirk
23440,cocks,kirks
23441,cod,curd
23442,cods,curds
23443,coddling,curdling
23444,col,curl
23445,cols,curls
23446,collie,curly
23447,collier,curlier
23448,cost,cursed
23449,cot,curt
23450,cotton,curtain
23451,cottoned,curtained
23452,cottoning,curtaining
23453,cottons,curtains
23454,dock,dirk
23455,docks,dirks
23456,dodge,dirge
23457,dodges,dirges
23458,dossed,durst
23459,dot,dirt
23460,dotted,dirtied
23461,dotty,dirty
23462,dottier,dirtier
23463,dottiest,dirtiest
23464,follow,furlough
23465,follows,furloughs
23466,god,gird
23467,gods,girds
23468,goggle,gurgle
23469,goggled,gurgled
23470,goggles,gurgles
23471,goggling,gurgling
23472,oth,girth
23473,oths,girths
23474,hob,herb
23475,hobs,herbs
23476,hobble,herbal
23477,hod,heard
23478,hods,herds
23479,honest,earnest
23480,honestly,earnestly
23481,hot,hurt
23482,hots,hurts
23483,hotting,hurting
23484,hots,hertz
23485,jockey,jerky
23486,ohnny,journey
23487,lock,lurk
23488,locked,lurked
23489,locking,lurking
23490,locks,lurks
23491,mock,murk
23492,mosses,mercies
23493,mossy,mercy
23494,moth,mirth
23495,mottle,myrtle
23496,mottles,myrtles
23497,ov,nerve
23498,ct,irked
23499,odd,erred
23500,llie,early
23501,on,earn
23502,ox,irks
23503,oz,errs
23504,pock,perk
23505,pocked,perked
23506,pocks,perks
23507,pod,purred
23508,poll,pearl
23509,polls,pearls
23510,olly,pearly
23511,pom,perm
23512,poms,perms
23513,posses,purses
23514,pot,pert
23515,scoff,scurf
23516,cot,skirt
23517,cots,skirts
23518,shock,shirk
23519,shocked,shirked
23520,shocking,shirking
23521,shocks,shirks
23522,shocker,shirker
23523,shockers,shirkers
23524,shot,shirt
23525,shots,shirts
23526,smock,smirk
23527,smocking,smirking
23528,smocks,smirks
23529,socket,circuit
23530,sockets,circuits
23531,sod,surd
23532,sods,surds
23533,sojourn,surgeon
23534,sojourns,surgeons
23535,sophist,surfaced
23536,splodge,splurge
23537,splodges,splurges
23538,spot,spirt
23539,spots,spurts
23540,spotted,spurted
23541,spotting,spurting
23542,squat,squirt
23543,squats,squirts
23544,squatted,squirted
23545,squatting,squirting
23546,toff,turf
23547,toffs,turfs
23548,tom,term
23549,toms,termz
23550,tops,turps
23551,wad,whirred
23552,wad,word
23553,wads,words
23554,wadded,worded
23555,wadding,wording
23556,wadi,wordy
23557,want,weren
23558,was,whirrs
23559,watt,wert
23560,yon,yearn
23561,on,an
23562,oz,as
23563,bob,babe
23564,bobs,babes
23565,bobby,baby
23566,bobbies,babies
23567,onn,bane
23568,boss,base
23569,bossed,based
23570,bosses,basses
23571,bossing,basing
23572,bother,bather
23573,bothers,bathers
23574,box,bakes
23575,bronze,brains
23576,ros,brace
23577,cobber,caber
23578,cobbers,cabers
23579,cobble,cable
23580,cobbled,cabled
23581,cobbles,cables
23582,cobbling,cabling
23583,cock,cake
23584,cocked,caked
23585,cocking,caking
23586,cocks,cakes
23587,col,kail
23588,common,caiman
23589,commons,caimans
23590,con,cane
23591,conned,caned
23592,conning,caning
23593,cons,canes
23594,cop,cape
23595,cops,capes
23596,copy,kepi
23597,copies,kepis
23598,copper,caper
23599,coppered,capered
23600,coppering,capering
23601,coppers,capers
23602,cos,case
23603,cottar,cater
23604,cottars,caters
23605,crock,crake
23606,crocks,crakes
23607,crop,cr
23608,crops,cr
23609,doggo,dago
23610,doll,dale
23611,dolls,dales
23612,dolly,daily
23613,dollies,dailies
23614,don,deign
23615,donned,deigned
23616,donning,deigning
23617,dons,deigns
23618,doss,dace
23619,dot,date
23620,dots,dates
23621,dotted,dated
23622,dotting,dating
23623,drop,drape
23624,dropped,draped
23625,dropping,draping
23626,drops,drapes
23627,flock,flake
23628,flocked,flaked
23629,flocking,flaking
23630,flocks,flakes
23631,fond,feigned
23632,font,faint
23633,fonts,faints
23634,fosse,face
23635,fosses,faces
23636,fox,fakes
23637,from,frame
23638,gobble,gable
23639,gobbled,gabled
23640,gobbles,gables
23641,gobbling,gabling
23642,golly,gaily
23643,gone,gain
23644,got,gait
23645,grot,grate
23646,grots,grates
23647,hock,hake
23648,hollow,halo
23649,hollows,haloes
23650,hot,hate
23651,hots,hates
23652,hotted,hated
23653,hotting,hating
23654,knocker,nacre
23655,loch,lake
23656,lochs,lakes
23657,lock,lake
23658,locks,lakes
23659,loss,lace
23660,losses,laces
23661,lost,laced
23662,lot,late
23663,mock,make
23664,mocking,making
23665,mocks,makes
23666,mocker,maker
23667,mockers,makers
23668,up,make
23669,ups,make
23670,od,made
23671,modern,maiden
23672,moderns,maidens
23673,ods,maids
23674,moll,mail
23675,molls,mails
23676,moss,mace
23677,mosses,maces
23678,nod,neighed
23679,ov,knave
23680,novel,naval
23681,novel,navel
23682,novels,navels
23683,nozzle,nasal
23684,nozzles,nasals
23685,ct,ached
23686,odd,aid
23687,odds,aids
23688,office,aphis
23689,op,ape
23690,opt,aped
23691,ox,aches
23692,plod,played
23693,plot,plate
23694,plots,plates
23695,plotted,plated
23696,pod,paid
23697,polish,palish
23698,poll,pail
23699,polls,pails
23700,pond,pained
23701,poppa,paper
23702,poppas,papers
23703,popper,paper
23704,poppers,papers
23705,pot,pate
23706,pots,pates
23707,prod,prayed
23708,rock,rake
23709,rocked,raked
23710,rocking,raking
23711,rocks,rakes
23712,rod,raid
23713,rods,raids
23714,on,rain
23715,onnie,rainy
23716,rot,rate
23717,rots,rates
23718,rotted,rated
23719,rotting,rating
23720,scone,skein
23721,scones,skeins
23722,cot,skate
23723,cots,skates
23724,shock,shake
23725,shocking,shaking
23726,shocks,shakes
23727,shocker,shaker
23728,shockers,shakers
23729,shod,shade
23730,shoddy,shady
23731,shoddier,shadier
23732,shoddiest,shadiest
23733,shop,shape
23734,shopped,shaped
23735,shopping,shaping
23736,shops,shapes
23737,slot,slate
23738,slots,slates
23739,slotted,slated
23740,slotting,slating
23741,oc,sake
23742,softie,safety
23743,sophist,safest
23744,sot,sate
23745,sots,sates
23746,spot,spate
23747,spots,spates
23748,stock,stake
23749,stocked,staked
23750,stocking,staking
23751,stocks,stakes
23752,stodge,stage
23753,stodgy,stagy
23754,swan,swain
23755,swans,swains
23756,top,tape
23757,topped,taped
23758,topping,taping
23759,tops,tapes
23760,topper,taper
23761,toppers,tapers
23762,tossed,taste
23763,trod,trade
23764,trot,trait
23765,trots,traits
23766,trotter,traitor
23767,trotters,traitors
23768,vol,vale
23769,vols,vales
23770,wad,wade
23771,wadded,waded
23772,wadding,wading
23773,wads,wades
23774,wallah,haler
23775,wallahs,whalers
23776,wand,waned
23777,was,ways
23778,watt,wait
23779,watts,waits
23780,wrath,wraith
23781,allot,alight
23782,allots,alights
23783,allotted,alighted
23784,allotting,alighting
23785,blonde,blind
23786,blondes,blinds
23787,blot,blight
23788,blotted,blighted
23789,blotting,blighting
23790,blots,blights
23791,blotter,blighter
23792,blotters,blighters
23793,bodied,bided
23794,bond,bind
23795,bonding,binding
23796,bonds,binds
23797,onn,bine
23798,borrowed,byroad
23799,box,bikes
23800,bronze,brines
23801,con,kine
23802,conned,kind
23803,cot,kite
23804,cots,kites
23805,crops,cripes
23806,dock,dike
23807,docked,diked
23808,docking,diking
23809,docks,dikes
23810,don,dine
23811,donned,dined
23812,donning,dining
23813,dons,dines
23814,doss,dice
23815,dossed,diced
23816,dosses,dices
23817,dossing,dicing
23818,fond,find
23819,fonder,finder
23820,god,guide
23821,gods,guides
23822,hock,hike
23823,hocked,hiked
23824,hocking,hiking
23825,hocks,hikes
23826,hod,hide
23827,hods,hides
23828,holly,highly
23829,hot,height
23830,hots,heights
23831,job,gibe
23832,jobbed,gibed
23833,jobbing,gibing
23834,jobs,gibes
23835,knot,knight
23836,knots,knights
23837,knotted,knighted
23838,knotting,knighting
23839,knotty,nightie
23840,loch,like
23841,lochs,likes
23842,lock,like
23843,locked,liked
23844,locking,liking
23845,locks,likes
23846,loll,lisle
23847,loss,lice
23848,lot,light
23849,lots,lights
23850,mocha,mica
23851,mock,mike
23852,mocks,mikes
23853,moll,mile
23854,molls,miles
23855,moss,mice
23856,oddly,idly
23857,odds,ides
23858,outshone,outshine
23859,plod,plied
23860,plot,plight
23861,plots,plights
23862,plotted,plighted
23863,plotting,plighting
23864,pock,pike
23865,pocks,pikes
23866,pod,pied
23867,poll,pile
23868,polls,piles
23869,pond,pined
23870,pop,pipe
23871,popped,piped
23872,popping,piping
23873,pops,pipes
23874,poppa,piper
23875,poppas,pipers
23876,popper,piper
23877,popper,pipers
23878,prod,pride
23879,prodded,prided
23880,prodding,priding
23881,prods,prides
23882,prom,prime
23883,proms,primes
23884,rhomb,rhyme
23885,rhombs,rhymes
23886,rod,ride
23887,rods,rides
23888,rot,right
23889,rots,rights
23890,rotted,righted
23891,rotting,righting
23892,rot,write
23893,rotting,writing
23894,rots,writes
23895,rotter,writer
23896,rotters,writers
23897,shod,shied
23898,shone,shine
23899,slot,sleight
23900,slots,sleights
23901,slotted,slighted
23902,slotting,slighting
23903,sod,side
23904,sodded,sided
23905,sodding,siding
23906,sods,sides
23907,sot,cite
23908,sots,cites
23909,sot,site
23910,sots,sites
23911,sot,sight
23912,sots,sights
23913,spot,spite
23914,spots,spites
23915,spotted,spited
23916,spotting,spiting
23917,strop,stripe
23918,stropped,striped
23919,strops,stripes
23920,stroppy,stripy
23921,swan,swine
23922,swap,swipe
23923,swapped,swiped
23924,swapping,swiping
23925,swaps,swipes
23926,toddy,tidy
23927,toddies,tidies
23928,toddle,tidal
23929,om,thyme
23930,top,type
23931,topped,typed
23932,topping,typing
23933,tops,types
23934,topographical,typographical
23935,topographically,typographically
23936,tot,tight
23937,tots,tights
23938,totter,tighter
23939,trod,tried
23940,trot,trite
23941,upon,opine
23942,vol,vile
23943,wad,wide
23944,ally,wily
23945,wan,whine
23946,wand,whined
23947,wands,winds
23948,wanner,whiner
23949,watt,white
23950,watts,whites
23951,whop,wipe
23952,whopping,wiping
23953,whops,wipes
23954,whopped,wiped
23955,whopper,wiper
23956,whoppers,wipers
23957,clod,cloyed
23958,col,coil
23959,collie,coyly
23960,cols,coils
23961,con,coign
23962,cons,coigns
23963,con,coin
23964,conned,coined
23965,conning,coining
23966,cons,coins
23967,cot,quoit
23968,cots,quoits
23969,cough,coif
23970,coughs,coifs
23971,dolly,doily
23972,dollies,doilies
23973,ohn,join
23974,moll,moil
23975,molls,moils
23976,llie,oily
23977,ol,soil
23978,vol,voile
23979,bloc,bloke
23980,blocs,blokes
23981,block,bloke
23982,blocks,blokes
23983,blot,bloat
23984,blotting,bloating
23985,blotted,bloated
23986,blots,bloats
23987,blotter,bloater
23988,blotters,bloaters
23989,bod,boed
23990,bod,bowed
23991,bodied,boded
23992,boggy,bogey
23993,bond,boned
23994,onn,bone
23995,bonny,bony
23996,bonnier,bonier
23997,bonniest,boniest
23998,bossed,boast
23999,choc,choke
24000,chocs,chokes
24001,chock,choke
24002,chocked,choked
24003,chocking,choking
24004,chocks,chokes
24005,choler,cola
24006,cholers,colas
24007,collar,cola
24008,collars,colas
24009,clock,cloak
24010,clocked,cloaked
24011,clocking,cloaking
24012,clocks,cloaks
24013,cock,coke
24014,cocked,coked
24015,cocking,coking
24016,cocks,cokes
24017,cocks,coax
24018,cod,code
24019,codded,coded
24020,codding,coding
24021,cods,codes
24022,col,coal
24023,cols,coals
24024,comma,coma
24025,commas,comas
24026,comma,comber
24027,commas,combers
24028,con,cone
24029,conned,coned
24030,conning,coning
24031,cons,cones
24032,onnie,coney
24033,consols,consoles
24034,cop,cope
24035,copping,coping
24036,copped,coped
24037,cops,copes
24038,opt,coped
24039,cost,coast
24040,costed,coasted
24041,costing,coasting
24042,costs,coasts
24043,cot,coat
24044,cots,coats
24045,cox,coax
24046,coxed,coaxed
24047,coxes,coaxes
24048,coxing,coaxing
24049,crock,croak
24050,crocked,croaked
24051,crocking,croaking
24052,crocks,croaks
24053,dodge,doge
24054,dodges,doges
24055,doll,dole
24056,dolled,doled
24057,dolling,doling
24058,dolls,doles
24059,doss,dose
24060,dossed,dosed
24061,dosses,doses
24062,dossing,dosing
24063,dot,dote
24064,dots,dotes
24065,dotted,doted
24066,dotting,doting
24067,dotty,dhoti
24068,foggy,fogey
24069,fond,phoned
24070,fox,folks
24071,foxy,folksy
24072,god,goad
24073,gods,goads
24074,golly,goalie
24075,gosh,gauche
24076,got,goat
24077,grot,groat
24078,grots,groats
24079,hocks,hoax
24080,hod,hoed
24081,holly,holy
24082,on,hone
24083,honour,owner
24084,honours,owners
24085,hop,hope
24086,hopped,hoped
24087,hopping,hoping
24088,hops,hopes
24089,knobble,noble
24090,knobbles,nobles
24091,knobbly,nobly
24092,knot,note
24093,knotted,noted
24094,knotting,noting
24095,knots,notes
24096,lob,lobe
24097,lobbed,lobed
24098,lobs,lobes
24099,odz,loads
24100,loft,loafed
24101,lolly,lowly
24102,lop,lope
24103,lopped,loped
24104,lopping,loping
24105,lops,lopes
24106,mock,moke
24107,mocks,mokes
24108,od,mode
24109,ods,modes
24110,model,modal
24111,models,modals
24112,moll,mole
24113,molls,moles
24114,mop,mope
24115,mopped,moped
24116,mopping,moping
24117,mops,mopes
24118,nod,node
24119,nods,nodes
24120,odd,ode
24121,odds,odes
24122,odd,owed
24123,odder,odour
24124,off,oaf
24125,on,own
24126,ox,oaks
24127,pock,poke
24128,pocked,poked
24129,pocks,pokes
24130,poll,pole
24131,polls,poles
24132,rhomb,roam
24133,rhombs,roams
24134,rob,robe
24135,robbed,robed
24136,robbing,robing
24137,robs,robes
24138,robot,rowboat
24139,robots,rowboats
24140,rod,road
24141,rods,roads
24142,rod,rode
24143,rod,rowed
24144,on,roan
24145,roster,roaster
24146,rosters,roasters
24147,rot,rote
24148,rot,wrote
24149,rotter,rotor
24150,rotters,rotas
24151,shod,shewed
24152,shone,shewn
24153,slop,slope
24154,slopped,sloped
24155,slopping,sloping
24156,slops,slopes
24157,smock,smoke
24158,smocked,smoked
24159,smocking,smoking
24160,smocks,smokes
24161,soccer,soaker
24162,sock,soak
24163,socked,soaked
24164,socking,soaking
24165,socks,soaks
24166,sod,sowed
24167,sop,soap
24168,sops,soaps
24169,sopped,soaped
24170,sopping,soaping
24171,soppy,soapy
24172,soppier,soapier
24173,soppiest,soapiest
24174,stock,stoke
24175,stocked,stoked
24176,stocking,stoking
24177,stocks,stokes
24178,toddy,toady
24179,toddies,toadies
24180,om,tome
24181,top,tope
24182,topped,toped
24183,topping,toping
24184,tops,topes
24185,topper,toper
24186,toppers,topers
24187,tossed,toast
24188,tot,tote
24189,tots,totes
24190,totted,toted
24191,totting,toting
24192,unwanted,unwonted
24193,vol,vole
24194,vols,voles
24195,wad,woad
24196,want,won
24197,wanted,wonted
24198,was,woes
24199,bond,bound
24200,bonded,bounded
24201,bonding,bounding
24202,bonds,bounds
24203,bronze,browns
24204,clod,cloud
24205,clods,clouds
24206,clot,clout
24207,clots,clouts
24208,clotted,clouted
24209,clotting,clouting
24210,cod,cowed
24211,col,cowl
24212,cols,cowls
24213,consul,council
24214,consuls,councils
24215,cont,count
24216,continence,countenance
24217,corrie,cowrie
24218,corries,cowries
24219,crotch,crouch
24220,crotches,crouches
24221,don,down
24222,donned,downed
24223,donning,downing
24224,dons,downs
24225,doss,douse
24226,dossed,doused
24227,dossing,dousing
24228,dosses,douses
24229,dosser,dowser
24230,dossers,dowsers
24231,dot,doubt
24232,dots,doubts
24233,dotted,doubted
24234,dotting,doubting
24235,dotty,doughty
24236,folly,foully
24237,fond,found
24238,fonder,founder
24239,fondling,foundling
24240,font,fount
24241,fonts,founts
24242,frond,frowned
24243,frosty,frowsty
24244,got,gout
24245,holler,howler
24246,hollers,howlers
24247,jolly,jowly
24248,jollier,jowlier
24249,jolliest,jowliest
24250,knot,knout
24251,knots,knouts
24252,loss,louse
24253,lot,lout
24254,lots,louts
24255,moss,mouse
24256,mosses,mouses
24257,mossy,mousy
24258,mossier,mousier
24259,mossiest,mousiest
24260,moth,mouth
24261,moths,mouths
24262,otter,outer
24263,plod,ploughed
24264,ponce,pounce
24265,ponces,pounces
24266,pond,pound
24267,ponds,pounds
24268,ponder,pounder
24269,ponders,pounders
24270,pot,pout
24271,potted,pouted
24272,potting,pouting
24273,pots,pouts
24274,prod,proud
24275,rod,rowed
24276,rondel,roundel
24277,rondels,roundels
24278,rot,rout
24279,rots,routs
24280,rotted,routed
24281,rotting,routing
24282,cot,scout
24283,cots,scouts
24284,shot,shout
24285,shots,shouts
24286,snot,snout
24287,spot,spout
24288,spots,spouts
24289,spotted,spouted
24290,spotting,spouting
24291,tot,tout
24292,tots,touts
24293,totted,touted
24294,totting,touting
24295,trot,trout
24296,trots,trouts
24297,wand,wound
24298,was,wows
24299,body,beardie
24300,bodied,bearded
24301,clod,cleared
24302,cosh,kirsch
24303,olly,dearly
24304,fosse,fierce
24305,god,geared
24306,horror,hearer
24307,horrors,hearers
24308,olly,merely
24309,nod,neared
24310,oz,ears
24311,pod,peered
24312,porridge,peerage
24313,proton,protean
24314,quad,queered
24315,quarry,query
24316,quarried,queried
24317,quarries,queries
24318,quarrying,querying
24319,rod,reared
24320,shod,sheared
24321,wad,weird
24322,wadi,weirdie
24323,wadis,weirdies
24324,warrior,wearier
24325,was,weirs
24326,onn,bairn
24327,cod,cared
24328,con,cairn
24329,cons,cairns
24330,folly,fairly
24331,forest,fairest
24332,hod,hared
24333,hostile,hairstyle
24334,odz,lairds
24335,moral,mayoral
24336,odd,aired
24337,oz,airs
24338,pod,paired
24339,shod,shared
24340,squad,squared
24341,wad,wared
24342,warrior,warier
24343,was,wares
24344,onn,bourn
24345,boss,bourse
24346,bosses,bourses
24347,olly,dourly
24348,god,gourd
24349,gods,gourds
24350,od,moored
24351,olly,poorly
24352,aether,author
24353,appeal,appal
24354,appealed,appalled
24355,appealing,appalling
24356,appealingly,appallingly
24357,appeals,appals
24358,s,boars
24359,s,bores
24360,bailee,bailor
24361,bailees,bailors
24362,be,boar
24363,be,bore
24364,beach,bortsch
24365,beak,balk
24366,beaks,balks
24367,bead,bawd
24368,beads,bawds
24369,beady,bawdy
24370,bead,board
24371,beading,boarding
24372,beads,boards
24373,bead,bored
24374,beak,balk
24375,beaks,balks
24376,beak,baulk
24377,beaks,baulks
24378,bean,born
24379,bean,borne
24380,beat,bought
24381,bee,boar
24382,bees,boars
24383,bee,bore
24384,bees,bores
24385,beech,bortsch
24386,been,born
24387,been,borne
24388,beet,bought
24389,reda,broader
24390,breed,broad
24391,breeder,broader
24392,breeds,broads
24393,s,saws
24394,s,soars
24395,s,sores
24396,cease,sauce
24397,ceased,sauced
24398,ceases,sauces
24399,ceasing,saucing
24400,cease,source
24401,ceases,sources
24402,cede,sawed
24403,cede,soared
24404,cede,sword
24405,cedes,swords
24406,cheek,chalk
24407,cheeked,chalked
24408,cheekier,chalkier
24409,cheekiest,chalkiest
24410,cheeling,chalking
24411,cheeks,chalks
24412,cheeky,chalky
24413,cheese,chaws
24414,cheese,chores
24415,compete,comport
24416,competed,comported
24417,competes,comports
24418,competing,comporting
24419,conceit,consort
24420,conceited,consorted
24421,conceits,consorts
24422,creel,crawl
24423,creels,crawls
24424,s,daws
24425,s,doors
24426,dean,dawn
24427,deans,dawns
24428,s,awes
24429,s,oars
24430,s,ores
24431,eager,auger
24432,eager,augur
24433,ease,awes
24434,ease,oars
24435,ease,ores
24436,eat,aught
24437,eat,ought
24438,eel,all
24439,eel,awl
24440,eels,awls
24441,eke,auk
24442,ekes,auks
24443,ether,author
24444,feast,forced
24445,feat,fort
24446,feats,forts
24447,feat,fought
24448,fee,faugh
24449,fee,for
24450,fee,fore
24451,fee,four
24452,feed,ford
24453,feeding,fording
24454,feeds,fords
24455,feel,fall
24456,feeling,falling
24457,feels,falls
24458,fees,fours
24459,feet,fort
24460,feet,fought
24461,femur,former
24462,fiend,fawned
24463,flea,flaw
24464,fleas,flaws
24465,flea,floor
24466,fleas,floors
24467,flee,flaw
24468,flees,flaws
24469,flee,floor
24470,flees,floors
24471,fleetest,flautist
24472,foresee,foresaw
24473,freed,fraud
24474,s,jaws
24475,gee,jaw
24476,geese,gorse
24477,ghee,gore
24478,guarantee,guarantor
24479,guarantees,guarantors
24480,he,haw
24481,he,hoar
24482,he,whore
24483,heal,hall
24484,heals,halls
24485,heal,haul
24486,healed,hauled
24487,healing,hauling
24488,heals,hauls
24489,heed,hawed
24490,heed,hoard
24491,heeded,hoarded
24492,heeding,hoarding
24493,heeds,hoards
24494,heed,horde
24495,heeds,hordes
24496,heel,hall
24497,heels,halls
24498,heel,haul
24499,heeled,hauled
24500,heeling,hauling
24501,heels,hauls
