ID,p0,p1,contrast,relative_ID,phonemic_contrast
134,tame,dame,vs,15,/t/ v /d/
135,tan,Dan,vs,16,/t/ v /d/
136,time,dime,vs,17,/t/ v /d/
137,toll,dole,vs,18,/t/ v /d/
138,tomb,doom,vs,19,/t/ v /d/
139,ton,done,vs,20,/t/ v /d/
140,town,down,vs,21,/t/ v /d/
141,trill,drill,vs,22,/t/ v /d/
142,try,dry,vs,23,/t/ v /d/
143,coat,goat,vs,24,/k/ v /g/
144,kate,gait,vs,25,/k/ v /g/
145,kill,gill,vs,26,/k/ v /g/
146,Kay,gay,vs,27,/k/ v /g/
147,Kremlin,gremlin,vs,28,/k/ v /g/
148,came,game,vs,29,/k/ v /g/
149,could,good,vs,30,/k/ v /g/
150,clean,glean,vs,31,/k/ v /g/
151,crate,great,vs,32,/k/ v /g/
152,cash,gash,vs,33,/k/ v /g/
153,cat,gat,vs,34,/k/ v /g/
154,cave,gave,vs,35,/k/ v /g/
155,class,glass,vs,36,/k/ v /g/
156,plank,blank,vs,37,/p/ v /b/
157,pin,bin,vs,38,/p/ v /b/
158,pile,bile,vs,39,/p/ v /b/
159,pi,by,vs,40,/p/ v /b/
160,peed,bead,vs,41,/p/ v /b/
161,peach,beach,vs,42,/p/ v /b/
162,pay,bay,vs,43,/p/ v /b/
163,patty,batty,vs,44,/p/ v /b/
164,pat,bat,vs,45,/p/ v /b/
165,paste,baste,vs,46,/p/ v /b/
166,par,bar,vs,47,/p/ v /b/
167,pang,bang,vs,48,/p/ v /b/
168,pant,bant,vs,49,/p/ v /b/
169,poop,boop,vs,50,/p/ v /b/
170,pan,ban,vs,51,/p/ v /b/
171,pair,bare,vs,52,/p/ v /b/
172,pain,bane,vs,53,/p/ v /b/
173,pack,back,vs,54,/p/ v /b/
174,pee,bee,vs,55,/p/ v /b/
175,peep,beep,vs,56,/p/ v /b/
176,patch,batch,vs,57,/p/ v /b/
177,path,bath,vs,58,/p/ v /b/
178,pug,bug,vs,59,/p/ v /b/
179,peg,beg,vs,60,/p/ v /b/
